topic,|topic_i|,sum_favorite,sum_views,sum_score,sum_ncomments,(f*v*s*n)^(1/4),popularity
Malwares (T1),850,323.0,1139747.0,623.0,1879.0,4556.238523175808,5.360280615500951
SQL Injection (T2),7482,9031.0,17353975.0,17284.0,21595.0,87454.68280297896,11.688677199008147
Vulnerability Scanning Tools (T3),2149,1521.0,3566626.0,4238.0,4259.0,17689.430219695125,8.23147055360406
Cross-site Request Forgery (T4),7265,9185.0,21187046.0,25338.0,12153.0,87983.52343239998,12.110601986565722
File-Related Vulnerabilities (T5),1075,556.0,2094002.0,1723.0,2326.0,8264.88315099701,7.688263396276288
Synchronisation Errors (T6),2928,3255.0,7052743.0,9297.0,7566.0,35647.53916591032,12.174705999286312
Encryption Errors (T7),1056,827.0,1894336.0,2347.0,1855.0,9087.71882478755,8.605794341654876
Resource Leaks (T8),8966,8855.0,13507074.0,24158.0,21958.0,89248.49485111107,9.954103820110536
Network Attacks (T9),855,587.0,1476233.0,1297.0,1210.0,6072.668711563816,7.102536504753001
Memory Allocation Errors (T10),16364,5981.0,21261873.0,19209.0,62388.0,111107.98858849509,6.789781751924657
Cross-site Scripting (T11),5529,4592.0,15537012.0,14720.0,11017.0,58322.366138743455,10.548447483947088
Vulnerability Theory (T12),4097,7305.0,9667226.0,16119.0,8393.0,55596.10322134766,13.569954410873239
Brute-force / Timing Attacks (T13),256,513.0,735831.0,1275.0,618.0,4152.871817013895,16.22215553521053
