topic_q,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13
T1,0.3927488966641917,0.11219746743269302,0.05256503764215957,0.09202828260608323,0.14719547804774585,0.0,0.20990286792051432,0.024593442832725163,0.17244887251801758,0.06651484531077768,0.20432055982168018,0.9999999999999999,0.042010970074183196
T2,0.06571311848828786,0.4584125741598213,0.07961267778163468,0.2427526728653848,0.06058320717873071,0.0,0.19084056711962782,0.020487217907052345,0.1605981323070316,0.027767653866560302,0.30587600217647265,1.0,0.0415510593454453
T3,0.13169207909748568,0.09516265290953081,0.22129102330454092,0.10139219172136295,0.09709784967159346,0.0,0.16729763754148666,0.028842085019658636,0.20123799493026714,0.05378545915315526,0.2598848780556731,1.0,0.042715139326569854
T4,0.044449245019932596,0.2713695851821315,0.038175392498155006,0.5261953090681447,0.09844666399118132,0.0020118678151483,0.29134657755925597,0.0,0.113403185213554,0.07437998150261801,0.48806857465032827,1.0,0.0662665705389707
T5,0.12098513651328406,0.13574549396121807,0.07681641014403912,0.12189213130246036,0.3285326333586399,0.0,0.1969129723228477,0.029853742198500555,0.14692813280746295,0.11991785653302091,0.28781074565718623,1.0,0.0532145764455053
T6,0.16405425063697618,0.055459170633040865,0.0,0.056654330520060144,0.12120460076691303,0.09301720387841703,0.3751788956559481,0.053104300486808094,0.16226620444519785,0.016931506160727382,0.17990886742363058,1.0,0.13251393953397042
T7,0.09078300430550998,0.13719548990496544,0.025690576801522765,0.14554279581497923,0.19598805375599587,0.0,0.43344929606946525,0.03549649862820393,0.18106271993606413,0.07470097752679684,0.2136516343535003,0.9999999999999998,0.1257832533781573
T8,0.09862546295637417,0.15829722096206653,0.03580411788393919,0.0,0.08246241116940375,,0.21864707921057616,0.061487456903690764,0.0820818737764159,0.07729698398472973,0.14280624140966547,1.0,0.06643926355430976
T9,0.1174102515022861,0.10397790260246198,0.05957900500188801,0.0872163283577582,0.16776733023206358,0.0,0.26718593573396293,0.019994149827378262,0.5621486600647883,0.06869506028743702,0.24017562497216108,1.0,0.05065081075918877
T10,0.09247357625957622,0.12842597072380696,0.056039187463127756,0.08601178302624216,0.13486095018691863,0.0,0.25448258705807575,0.04890141923297541,0.1332151985232885,0.3703751188192328,0.21823289297305412,0.9999999999999999,0.09806013190136459
T11,0.08757235031766998,0.2852438950108466,0.06263046722160268,0.3089916274506494,0.11338061464558556,0.0,0.22268206628234252,0.015385729125605886,0.15173681486498536,0.06490686646817986,0.6311093816622123,0.9999999999999999,0.03813606484170769
T12,0.11204561880843805,0.1176860026267717,0.052137580866795805,0.12412033661788424,0.10274885065970325,0.0,0.20557817913468984,0.02100807958574091,0.18698409822316994,0.05890477935796139,0.21438462210040085,0.9999999999999999,0.06217121101364788
T13,0.07694825416508505,0.15686944898508073,0.03193083514196231,0.1252127304470476,0.09296246941995633,0.0,0.2569765687591201,0.06084167306871967,0.1651639680244003,0.07486095060408586,0.15590188237661454,0.9999999999999999,0.2933358781673453
