topic_q,topic_a,score
T1,T1,39.642740623232356
T1,T2,12.941171714606249
T1,T3,7.265636795385222
T1,T4,11.021563320688031
T1,T5,16.272118181934886
T1,T6,2.26274310622677
T1,T7,22.24031337650002
T1,T8,4.603431622044315
T1,T9,18.67561779864249
T1,T10,8.59331404780917
T1,T11,21.709015479431716
T1,T12,97.43805189637784
T1,T13,6.261150155610952
T2,T1,4.381275509748128
T2,T2,27.700731636174755
T2,T3,5.206665406364078
T2,T4,14.89431814658849
T2,T5,4.076648803527946
T2,T6,0.4790694807180106
T2,T7,11.811650078463762
T2,T8,1.695650691198871
T2,T9,10.01578017952879
T2,T10,2.1279808217529874
T2,T11,18.64273614708382
T2,T12,59.86152033374842
T2,T13,2.946473220190266
T3,T1,5.488658260996437
T3,T2,4.190724446955203
T3,T3,8.672214958283877
T3,T4,4.41206734536693
T3,T5,4.259484281872414
T3,T6,0.8094825843092203
T3,T7,6.753765958952247
T3,T8,1.8342760541505518
T3,T9,7.959707089504913
T3,T10,2.7205437047172047
T3,T11,10.043500366325894
T3,T12,36.340667973397316
T3,T13,2.327202118642301
T4,T1,4.447765345827452
T4,T2,20.75350704882992
T4,T3,3.996947148438387
T4,T4,39.0644369108068
T4,T5,8.327840467099715
T4,T6,1.398356417745083
T4,T7,22.188987347649356
T4,T8,1.2537902809635868
T4,T9,9.402566389214781
T4,T10,6.598488624835655
T4,T11,36.32477645131903
T4,T12,73.11046778879472
T4,T13,6.015485869732348
T5,T1,5.356130229782515
T5,T2,5.9182749738157945
T5,T3,3.6739746677171454
T5,T4,5.390672913142287
T5,T5,13.260527863812102
T5,T6,0.7484397428146009
T5,T7,8.247824010012904
T5,T8,1.8854124974249986
T5,T9,6.344163145834204
T5,T10,5.315483122594683
T5,T11,11.709644342241983
T5,T12,38.83320469625162
T5,T13,2.775104378838376
T6,T1,1.1264991742868145
T6,T2,0.5352683057709484
T6,T3,0.23332853447233948
T6,T4,0.5417751882005403
T6,T5,0.8932101918820855
T6,T6,0.7397478145535454
T6,T7,2.275938055266941
T6,T8,0.522447541499226
T6,T9,1.116764404508356
T6,T10,0.32550977410424387
T6,T11,1.2128174389118807
T6,T12,5.677689996284798
T6,T13,0.9547823200240344
T7,T1,14.612802664682073
T7,T2,20.755883357013268
T7,T3,5.997275410494176
T7,T4,21.860719116324322
T7,T5,28.537570960707377
T7,T6,2.596912678657685
T7,T7,59.96755265619252
T7,T8,7.2951711871577904
T7,T9,26.562078184752792
T7,T10,12.484211900324798
T7,T11,30.875493602093307
T7,T12,134.9552773080941
T7,T13,19.24537839356062
T8,T1,0.5100150391741645
T8,T2,0.7099050228923578
T8,T3,0.2995744880094723
T8,T4,0.17963693664418234
T8,T5,0.45587163421154164
T8,T7,0.9120665241764173
T8,T8,0.38560919504788804
T8,T9,0.4545969003033962
T8,T10,0.438568353893514
T8,T11,0.6580129427191388
T8,T12,3.529462555978624
T8,T13,0.40219688382812224
T9,T1,16.187144297115168
T9,T2,14.693657540116803
T9,T3,9.757129603990009
T9,T4,12.830008125736434
T9,T5,21.78613750112817
T9,T6,3.1327889448053563
T9,T7,32.84007689949175
T9,T8,5.355854933287951
T9,T9,65.63574993341774
T9,T10,10.770705706469798
T9,T11,29.836913288569637
T9,T12,114.31861118159385
T9,T13,8.764440986025733
T10,T1,3.414724823202713
T10,T2,4.5484312364328545
T10,T3,2.265819420483304
T10,T4,3.210961581872948
T10,T5,4.751348944559142
T10,T6,0.4987052361314813
T10,T7,8.523443095808041
T10,T8,2.040740291839314
T10,T9,4.699452562038697
T10,T10,12.177945346939618
T10,T11,7.380361771900478
T10,T12,32.032249249676205
T10,T13,3.590888721417163
T11,T1,11.679457457185595
T11,T2,35.52484810463066
T11,T3,8.670683752139714
T11,T4,38.389569771560836
T11,T5,14.792743923312509
T11,T6,1.1154842435345147
T11,T7,27.977928551969185
T11,T8,2.9714859354589156
T11,T9,19.41970517564079
T11,T10,8.945288928056348
T11,T11,77.24707804658749
T11,T12,121.74686133150934
T11,T13,5.715890262106014
T12,T1,75.2290746878111
T12,T2,78.49042598861786
T12,T3,40.589382822395294
T12,T4,82.210850734099
T12,T5,69.85354921441655
T12,T6,10.442681346488186
T12,T7,129.31095051624123
T12,T8,22.589856058554023
T12,T9,118.55958466575078
T12,T10,44.502274624233806
T12,T11,134.40296289460935
T12,T12,588.6571089189468
T12,T13,46.39097253423113
T13,T1,2.2528523806359657
T13,T2,4.2597772011956865
T13,T3,1.122406623430665
T13,T4,3.4648359554529944
T13,T5,2.6549900882762705
T13,T6,0.3205819543683892
T13,T7,6.773596768605343
T13,T8,1.8483952469625051
T13,T9,4.468063328200019
T13,T10,2.2004374820093013
T13,T11,4.2354803491973
T13,T12,25.43187846438507
T13,T13,7.686626168054725
